subject_code,module_number,module_title,topics
BCS3305,3,Arrays Structures and Unions,"Arrays one dimensional two dimensional and multidimensional; Array of unknown and varying size; Memory storage and initialization; Arrays manipulation; Strings declaration and initialization; String manipulation; Structures purpose and use; Declaring and assigning structures; Accessing structure members; Array of structures; Arrays within structures; Union utility; Union of structures; Function declaration definition and call; Passing values between functions; Global and local variables; Call by value and call by reference"
BCS3305,4,Pointers Preprocessors and File Handling,"Pointers declaration and initialization; Accessing the address of a variable; Pointer arithmetic; Pointers and arrays; Dynamic memory allocation; Stack and linked list using pointers; Recursion; Pointers to functions; Calling a function using a function pointer; Passing a function to another function; How to return a function pointer; Standard C library math functions; String handling functions; C preprocessor directives; Defining and calling macros; Conditional compilation; Passing values to the compiler; File handling in C types of files; Opening and closing of a file; Input output operations on files; Multiple file handling in C"
BHS3301,1,Introduction to Industrial Psychology and Individual in Workplace,"Introduction to industrial psychology; Definition and scope of industrial psychology; Applications of industrial psychology; Scientific management theory; Human relation approach and Hawthorne experiment; Motivation; Job satisfaction; Stress management; Organizational culture; Types of leaders and leadership styles; Group dynamics"
BHS3301,2,Industrial Environment and Engineering Psychology,"Work environment and engineering psychology; Industrial fatigue and industrial boredom; Industrial accidents and safety measures; Job analysis and its methods; Recruitment and selection process; Performance appraisal; 360 degree performance appraisal; Training and development"
BAS3301,1,Complex Analysis I,"Analytic function; Cauchy Riemann equations; Harmonic functions; Line integral in complex plane; Cauchy theorem without proof; Cauchy integral formula; Cauchy integral formula for derivatives of analytic functions; Morera's theorem without proof; Liouville's theorem; Fundamental theorem of algebra"
BAS3301,2,Complex Analysis II,"Representation of a function by power series; Taylor's series; Laurent's series; Singularities; Zeroes and poles; Residue theorem; Evaluation of real integrals; Introduction to conformal mapping"
BAS3301,3,Laplace Transform,"Laplace transform; Existence theorem; Laplace transform of derivatives and integrals; Inverse Laplace transform; Unit step function; Dirac delta function; Convolution theorem; Application to simple linear and simultaneous differential equations"
BAS3301,4,Fourier and Z Transforms,"Fourier integral; Fourier complex transform; Fourier sine and cosine transforms; Z transform and applications"
BHS3402,1,Concept of Industrial Sociology,"Industrial sociology meaning nature and scope; Industrial and post industrial society; Industrialization in India causes and consequences; Industrial disputes causes and preventions; Understanding others attributions; Types of bargaining and collective bargaining; Personnel management and human resource management; Social change in India westernization modernization globalization; Sociology of modern organizations; Modern business organization ownership and control"
BHS3402,2,Socio Cultural Issues in Indian Industries,"Grievances and handling procedures; Strikes and lockouts; Models of industrialization collectivist anarchist free market environmentalist; Cultural issues; Consumer society; Sociological concerns"
